date,open,high,low,price_usd,volume,log_return,pct_return,volatility_30d,volatility_90d
2021-10-21,5.4240023075,5.9550729268,4.7579593536,5.1153214418,73987456.25,,,,
2021-10-22,5.1067482618,5.8358465144,4.6840199122,5.6715751075,144937744.56,0.1032266354977999,0.1087426610485426,,
2021-10-23,5.6701979619,6.0390312235,5.2683816328,5.5703188557,119724206.4,-0.0180145784092456,-0.0178532858828053,,
2021-10-24,5.569274192,6.2696187202,5.2427586723,5.7099910526,105920170.37,0.0247651592072041,0.0250743629796121,,
2021-10-25,5.709741311,6.7675489594,5.6328795125,6.5949470261,94117799.75,0.1440862970068923,0.1549837758672216,,
2021-10-26,6.5940384985,6.8199694351,5.857043288,6.0667080932,92389741.36,-0.0834876197625797,-0.0800975247882135,,
2021-10-27,6.0690705201,6.5427822645,6.0239782083,6.2499434082,106453428.01,0.0297562750785402,0.0302034171061211,,
2021-10-28,6.2499841549,6.4244891559,4.8423898406,5.6666030041,106857204.39,-0.0979825882649063,-0.0933353097781094,,
2021-10-29,5.6666099869,5.779092428,4.0945099874,4.8135306552,146951571.0,-0.1631589819504597,-0.1505438705133869,,
2021-10-30,4.8141761175,5.3855712796,4.335746596,5.22572016,52028376.18,0.0821617792143607,0.0856314282230064,,
2021-10-31,5.2267940092,5.5370819642,4.7768601399,4.8353155568,33113721.67,-0.0776462261341443,-0.0747082873262772,,
2021-11-01,4.8363241983,5.5003526594,4.134067636,5.2924634808,81466291.2,0.0903374319394112,0.0945435553543354,,
2021-11-02,5.291107367,5.7386369543,4.919277215,5.4081210505,35392725.22,0.0216178982649491,0.0218532579619268,,
2021-11-03,5.4099628723,6.5124558734,5.3009323629,6.3790631687,51339378.97,0.1651195257245497,0.1795340949534094,,
2021-11-04,6.3114037305,6.9218116725,6.0242828139,6.3305635782,46316678.76,-0.0076319827291892,-0.0076029330980719,,
2021-11-05,6.3325256278,6.90480383,5.6902491959,6.1990775351,35510676.98,-0.0209887687636676,-0.0207700375291682,,
2021-11-06,6.1988964643,6.3394215225,5.5036724319,6.0153259577,33292879.98,-0.0300899575555288,-0.0296417614329832,,
2021-11-07,5.9954270901,6.9719813678,5.9418584829,6.4210551112,34872426.03,0.0652719129725424,0.0674492382213538,,
2021-11-08,6.4217405648,6.8854459326,6.0097953753,6.4564654995,39808120.05,0.005499580023283,0.0055147304744722,,
2021-11-09,6.4560029378,6.6253471225,5.9451255748,6.4585656018,36056465.27,0.0003252183137674,0.0003252712029766,,
2021-11-10,6.4586432648,6.7983793477,6.1826854043,6.4344724624,37996498.74,-0.0037373918117101,-0.0037304164555185,,
2021-11-11,6.4225002655,6.6409924849,5.938552352,6.2760973823,36795741.97,-0.0249215068933036,-0.0246135298620778,,
2021-11-12,6.2816032806,6.4705473817,5.3594086246,6.2433850926,57429418.7,-0.0052258332900665,-0.0052122023779069,,
2021-11-13,6.2438667534,6.489192876,5.9840707528,6.4067007056,32401226.83,0.0258219098296262,0.0261581835138713,,
2021-11-14,6.4062005913,6.803597904,6.2275251626,6.4579613342,34152541.76,0.0079692571377288,0.0080010961890564,,
2021-11-15,6.4588576404,6.7308438414,5.8291099398,6.3105344376,45478027.43,-0.0230933151545038,-0.0228287053716562,,
2021-11-16,6.3099099531,6.452206868,5.4342700999,6.0523338455,63896296.83,-0.0417764126486278,-0.0409158043036048,,
2021-11-17,6.0522757076,6.6310124692,5.7117781909,6.1222768517,34558255.73,0.0114901046846019,0.011556369490755,,
2021-11-18,6.1215086406,6.3966081768,5.9959914927,6.2297520651,26968060.42,0.0174024731452242,0.0175547783942759,,
2021-11-19,6.2337850336,6.9954396861,6.1690413476,6.9173929227,40750688.44,0.1047024182954277,0.1103801323735285,,
2021-11-20,6.9156629974,8.1043599197,6.5016797722,7.3546192086,40791685.47,0.0612896262105223,0.0632068021559402,1.1233841927871187,
2021-11-21,7.348661804,7.7342261292,7.1160605692,7.1923004683,28077558.12,-0.0223175051540898,-0.0220703119626092,1.093419922390446,
2021-11-22,7.1964265911,7.5956649491,6.8064077933,7.3947397109,35480758.94,0.0277578231330607,0.0281466609316793,1.0920333253691763,
2021-11-23,7.3936621541,7.6874909405,6.9554174128,7.548594069,28510357.21,0.0205924323359119,0.0208059193582184,1.0915914787334933,
2021-11-24,7.5444406288,7.8037311314,7.1270162085,7.5180421348,30845825.12,-0.0040555802453259,-0.0040473674860155,1.0143517845277643,
2021-11-25,7.6984748577,8.2179458816,7.6162945036,7.7618666035,31315847.24,0.0319170973089979,0.032431910373496,0.9821289951229526,
2021-11-26,8.2243509896,8.2475770832,7.5331299783,7.7128289292,28753724.92,-0.0063378097929004,-0.0063177682386202,0.980819658178236,
2021-11-27,7.71396979,8.2066786911,7.6902486983,8.0327312594,26480501.76,0.0406395648923223,0.0414766531368124,0.9329939795970599,
2021-11-28,8.034919448,8.2682286657,7.6188376537,7.7884343593,27719616.15,-0.0308847432082806,-0.0304126818402048,0.7846237614337431,
2021-11-29,7.7864182658,8.6906027897,7.6208601503,8.1704068877,29962114.8,0.0478788514389598,0.0490435575083065,0.7655788978627496,
2021-11-30,8.1816998327,8.3354291436,6.6406919297,7.3358734622,68634947.19,-0.1077422243646837,-0.102140987220151,0.8013265944094948,
2021-12-01,7.3353841367,7.4986693134,6.6132412092,7.1090903191,51637915.33,-0.0314021941613326,-0.030914265938277,0.7777417836126251,
2021-12-02,7.1082120413,7.1082120413,5.5315687119,6.5726637647,64321214.93,-0.0784550977976385,-0.0754564269578601,0.817627356181304,
2021-12-03,6.5594150796,6.5594150796,5.6012429149,6.1811419604,41217942.62,-0.0614161563286782,-0.0595682083119416,0.6892757220235073,
2021-12-04,6.1759330908,6.6317623553,5.7617969509,6.6294427533,26890708.81,0.0700177137538887,0.0725271795684481,0.7189346698491795,
2021-12-05,6.635499431,6.8953438909,6.2725449484,6.8343604385,17168560.05,0.0304421428648822,0.0309102428100758,0.7203827394215215,
2021-12-06,6.8339546343,7.1472602649,5.9531379801,6.4536820578,31881165.72,-0.057312064651738,-0.055700659063213,0.7354931812170641,
2021-12-07,6.4524673263,6.6808828756,6.2021296865,6.3151457134,13341240.21,-0.0216999998937041,-0.0214662487490475,0.7137040768554119,
2021-12-08,6.3150220124,6.3576768515,6.0415946456,6.2830364586,11196692.72,-0.0050974535673348,-0.005084483598196,0.7135838081044639,
2021-12-09,6.2791709284,6.2791709284,5.2042795509,5.4853644272,31034528.46,-0.1357698439286128,-0.1269564543602439,0.8135536641787299,
2021-12-10,5.485371649,5.5032129419,4.863803703,5.2040271148,22610362.52,-0.0526507611995889,-0.0512887185771919,0.824933847840009,
2021-12-11,5.2049977838,5.7451346792,5.1338139131,5.5371824453,14409385.6,0.0620530164923594,0.0640187537748453,0.8468066809704563,
2021-12-12,5.5371945498,6.3562501348,5.4482001755,6.2850367032,12564210.89,0.1266858943285506,0.1350604328623457,0.9278142894554833,
2021-12-13,6.2863563786,6.3128923486,5.5850926189,5.6318398771,17422332.36,-0.1097354942952952,-0.1039288801237116,0.9771819831526796,
2021-12-14,5.6290673054,5.6540567111,5.4255611842,5.6082776193,9051764.98,-0.0041925348771555,-0.0041837584722194,0.9764908796299534,
2021-12-15,5.6080637281,5.6450741632,5.3151359856,5.3748110988,8022402.76,-0.0425202236749326,-0.0416289164602982,0.9812817721622381,
2021-12-16,5.3743204732,5.8087403704,5.3729425816,5.4844236621,8401964.29,0.0201885839415239,0.0203937517589172,0.9777213453237464,
2021-12-17,5.4830705928,5.5180839911,5.0168117533,5.087198171,13163147.01,-0.0751847914871728,-0.0724279369307333,0.9983930959369066,
2021-12-18,5.0871627805,5.1782040719,4.7540171323,5.1199635551,13203717.06,0.0064200994403551,0.0064407524532428,0.996645400318882,
2021-12-19,5.1204801427,5.484279895,5.1195752667,5.4234805583,6942577.75,0.0575904578954912,0.0592810866588426,0.959616656100191,
2021-12-20,5.4229408232,5.5245603436,5.0625710666,5.2166218401,8404802.98,-0.0388877434479861,-0.0381413219751339,0.9403917327061984,
2021-12-21,5.2164258599,5.485171577,5.1254036349,5.299810687,8068762.8,0.0158210651571033,0.0159468808454792,0.9430541550933764,
2021-12-22,5.3002277561,5.9798791807,5.3002277561,5.9684721853,9698477.1,0.1188198788062932,0.1261670534647909,1.0094768509899328,
2021-12-23,5.9632222516,6.394299579,5.9321895229,6.3756866476,6379282.39,0.066000815379244,0.0682275881762415,1.0287133731704314,
2021-12-24,6.3745055669,6.7237730817,6.3157453898,6.6305552712,7724701.9,0.039196757331346,0.0399750862436032,1.0368936054586224,
2021-12-25,6.6271889603,6.8867199665,6.6116061379,6.8867199665,4952337.7,0.0379063625596052,0.038633973298233,1.0388492398411115,
2021-12-26,6.8864326462,7.351524378,6.8669034175,7.3137338004,10020721.19,0.0601590086039168,0.0620054011165227,1.0552890702920787,
2021-12-27,7.3146274695,7.4751900154,6.7265889511,6.7474534253,11002929.38,-0.0805887597924066,-0.0774269874395796,1.071321893203581,
2021-12-28,6.7468986402,7.2511032532,6.6063533945,7.0551317307,9376858.05,0.0445900937194464,0.0455991743857528,1.0782823517644633,
2021-12-29,7.0522572728,7.2925482429,7.0001719096,7.0348221345,7449516.92,-0.0028828497893024,-0.0028786983681147,1.067328801996491,
2021-12-30,7.0331585637,7.425826051,6.8805206344,7.3752712924,9289274.66,0.0472602796551838,0.0483948494206241,1.031603007677347,
2021-12-31,7.3754199415,7.4053735572,6.6793306093,7.0622629009,12173649.03,-0.0433671626044465,-0.0424402546144364,1.0353619187720677,
2022-01-01,7.0624239996,7.0846000652,6.756793182,6.8387851529,8592519.12,-0.0321554177201132,-0.0316439293093324,1.0134243457131777,
2022-01-02,6.838770069,6.9329274244,6.0603732179,6.0603732179,8460798.19,-0.1208387213379007,-0.1138231305116981,1.0590004081518292,
2022-01-03,6.0604109445,6.6538853939,5.9657487998,6.6538853939,11769240.87,0.0934295685110146,0.0979332715429133,1.0746360243032629,
2022-01-04,6.6542709219,6.6962821627,6.4595083725,6.478489461,6820601.35,-0.0267135784880902,-0.0263599269474636,1.0733901243126647,
2022-01-05,6.4785569818,6.6130204379,5.5958712736,5.7671850298,8425143.92,-0.1163032769634574,-0.10979479637684,1.1128020567652943,
2022-01-06,5.7671657995,5.8405028526,5.419219088,5.4627139324,6513129.98,-0.0542383748755799,-0.0527937105930792,1.1213265074366134,
2022-01-07,5.4626184248,5.6292382609,4.7218163937,5.6234742569,17411954.99,0.0290039445986981,0.0294286551500548,1.1256043305605372,
2022-01-08,5.6234644687,5.8820136112,5.6234644687,5.7005688897,5227358.01,0.0136163069912112,0.0137094310879801,1.05430051589837,
2022-01-09,5.7005524069,5.7179475741,5.2888895738,5.5648264867,6595908.66,-0.0241001702184398,-0.0238120800969995,1.0448136086860669,
2022-01-10,5.5648109788,5.5765354834,5.0529766201,5.3139532792,10907026.44,-0.0461297495744871,-0.0450819460588017,1.0380161597145003,
2022-01-11,5.3138776353,5.4445340857,5.2189257644,5.3069434444,3882421.76,-0.0013200082818363,-0.001319137454113,0.9644853841730554,
2022-01-12,5.3069692238,6.1704265114,5.3004929852,6.1703243262,9987021.96,0.1507353545640564,0.1626889170471674,1.014349062868855,
2022-01-13,6.1702722174,6.2294037955,5.7299113431,5.8921608311,7675609.64,-0.0461286068115685,-0.0450808548132359,1.0241828758435483,
2022-01-14,5.892405928,6.0251720413,5.6544182083,5.8451742335,5512106.06,-0.0080063912867578,-0.0079744255031185,1.0161026637174966,
2022-01-15,5.8452384534,5.9201299759,5.7431540468,5.9117580554,3243624.68,0.0113268550232789,0.0113912467345103,1.015108712975919,
2022-01-16,5.9117913661,5.9603311693,5.6353516192,5.6579848354,4384440.95,-0.0438754658143034,-0.0429268616242159,0.9982026140864598,
2022-01-17,5.6581592261,5.6619509014,5.1684454047,5.2401994899,7269701.84,-0.0767082244708769,-0.0738399549758538,1.0248419314837098,
2022-01-18,5.2401725441,5.3447086148,4.8278071351,5.0787711964,12857429.16,-0.0312902263421566,-0.0308057534471994,1.014344701775717,
2022-01-19,5.0787534766,5.2664977912,5.0632920516,5.257445952,5168081.33,0.0345760065129617,0.0351807058618136,1.0135946732424614,1.0284394128662624
2022-01-20,5.2574596111,5.5300909676,5.2245699246,5.3394417301,5987545.89,0.0154757542111156,0.0155961238305848,1.0135490990614198,1.013954394737367
2022-01-21,5.3396527554,5.3699418862,5.0028235939,5.030795187,5888051.72,-0.0595430420980892,-0.0578050213302392,0.9627890595173386,1.0183375072983865
2022-01-22,5.0307887216,5.0439119716,4.5831920436,4.6280932023,7095188.79,-0.0834331125694189,-0.0800473821197523,0.9635015733334087,1.026607461206032
2022-01-23,4.6282469612,5.0100227449,4.6107608526,5.0020637495,4254421.45,0.0777056292619922,0.08080445463245,0.9870010819581536,1.0055943980599533
2022-01-24,5.0021262383,5.2549801649,4.9943491153,5.2336355457,3986455.58,0.0452555924285201,0.0462952508798288,0.9902859807093037,0.9995005400689801
2022-01-25,5.2336689995,5.326847197,5.2237735616,5.2451423172,2901889.39,0.0021962057552168,0.0021986191815466,0.9690559287891719,0.9981121516051152
2022-01-26,5.2451157722,5.3059365942,5.1617155547,5.2254460246,2862148.39,-0.0037622175926071,-0.0037551493189063,0.9464901440767375,0.984806605580689
2022-01-27,5.2252193999,5.2395145707,4.977728021,4.9845584914,2941406.37,-0.0471953256982129,-0.0460989419976718,0.9390895111924225,0.9491803092387671
2022-01-28,4.9844852701,5.3554380988,4.9540121412,5.3472372124,3642991.98,0.0702351865565124,0.0727604504241929,0.9684264836189631,0.9464769350880139
2022-01-29,5.3472791112,6.0058993605,5.208684644,5.9389160946,6440361.03,0.1049466224415581,0.1106513249174589,1.0111131371845696,0.9532156157250963
2022-01-30,5.9389568117,6.3298766664,5.447329822,5.447329822,9445634.41,-0.0864010933698258,-0.0827737359426541,1.0319594037601765,0.9528660004853247
2022-01-31,5.4474202128,5.4490641819,5.0833773998,5.0984902877,2971964.09,-0.0661810738099481,-0.0640386291447142,1.0433418726156427,0.9586181748810888
2022-02-01,5.0984295358,5.1967486539,5.0971162102,5.1493443988,2100185.13,0.0099249314807698,0.0099743469596647,0.9898611212107863,0.9168947670164269
2022-02-02,5.1494085418,5.2561342076,4.9011811189,4.9578258168,3022661.75,-0.0379021041190829,-0.0371928088641015,0.9481907774549627,0.9187828747796171
2022-02-03,4.9576357118,5.0884299144,4.8277944785,5.0789834768,2887451.3,0.0241438373257972,0.0244376596671564,0.9517613610081619,0.9193449775092725
2022-02-04,5.078855837,5.1899033404,4.930809717,4.9584688628,2452061.77,-0.0240141425110143,-0.0237280972758607,0.8965854273911241,0.9188794470058123
2022-02-05,4.9586169434,5.1613598823,4.9465603431,5.1177629639,3221855.44,0.0316204263963182,0.0321256632859134,0.8901517833799858,0.9135986658833024
2022-02-06,5.1176902539,5.1358331436,4.9120163096,4.9137370175,1540767.5,-0.0406826667856585,-0.03986623605649,0.891853334380888,0.9157165724015383
2022-02-07,4.9135933364,4.9701862913,4.8683996112,4.961811801,2838537.92,0.009736200822483,0.0097837518224488,0.8912392372102121,0.9159496956225409
2022-02-08,4.9619524966,4.9933068082,4.8222391618,4.8454181409,2154541.82,-0.0237374112869979,-0.0234578949722643,0.8911709777489593,0.9166108068737797
2022-02-09,4.8452745675,4.9202653372,4.8452745675,4.8916540271,1463734.7,0.0094969479348068,0.0095421870425846,0.8832004145439456,0.9161054349159182
2022-02-10,4.8916643689,4.8916643689,4.4378819228,4.4767629199,4576941.7,-0.0886302704144712,-0.0848161184134208,0.9175464819510027,0.9273010087040067
