p_low,p_high,p_detect,EILNET_mean,VaR95_med
0.002,0.02,0.2,0.012090993489735823,0.15665170352251012
0.002,0.02,0.4,0.008555321601660977,0.09194451685130363
0.002,0.02,0.6,0.0061978247651446805,0.0
0.002,0.04,0.2,0.018415868355258876,0.2824955982073273
0.002,0.04,0.4,0.014019159149632424,0.21198288213014052
0.002,0.04,0.6,0.009848607371821458,0.1416224493504597
0.002,0.06,0.2,0.025539946608173547,0.4214624061256692
0.002,0.06,0.4,0.01943303994562846,0.3239389534875752
0.002,0.06,0.6,0.013438581155230717,0.24173708822502793
0.005,0.02,0.2,0.01754255357632876,0.28689155942971195
0.005,0.02,0.4,0.013578276630445014,0.1967672762017127
0.005,0.02,0.6,0.008766036959293058,0.1131707629877122
0.005,0.04,0.2,0.025634591156790888,0.38680120311956884
0.005,0.04,0.4,0.01911509906327506,0.3153447390380971
0.005,0.04,0.6,0.013829470798709045,0.2211368446403199
0.005,0.06,0.2,0.03309087208119256,0.5467487650021399
0.005,0.06,0.4,0.02366850893670567,0.4044848105673517
0.005,0.06,0.6,0.017369306244249427,0.2999032656837724
0.01,0.02,0.2,0.027969717817467425,0.46410553734756715
0.01,0.02,0.4,0.022451306665717,0.3933155368116881
0.01,0.02,0.6,0.015907164975797083,0.27059499958838407
0.01,0.04,0.2,0.03555170584548973,0.6242224536457124
0.01,0.04,0.4,0.02853053219736724,0.4835530438136061
0.01,0.04,0.6,0.018797057021204846,0.322942108692992
0.01,0.06,0.2,0.04086987405442217,0.7001344234487625
0.01,0.06,0.4,0.03242107642536494,0.552148887934903
0.01,0.06,0.6,0.022154067292749935,0.38672134029647454
