p_fraud_high,p_detect,p_high_regime,VaR95_median,ES95_median,E_IL_NET_mean
0.02,0.2,0.05,0.0,0.0005898596883475774,0.006563218345055802
0.02,0.2,0.1,0.004699539159034313,0.008131060923002833,0.008693474179343345
0.02,0.2,0.15,0.011252906230926476,0.013262015359240181,0.01071351269307156
0.02,0.4,0.05,0.0,0.0,0.005031109982577308
0.02,0.4,0.1,0.0,0.004733160826689377,0.006525812087489413
0.02,0.4,0.15,0.005038595189704322,0.009844777820747254,0.008246518907414242
0.02,0.6,0.05,0.0,0.0,0.0035381744113265915
0.02,0.6,0.1,0.0,0.0032759452658328815,0.004556224754216584
0.02,0.6,0.15,0.0,0.006580442368622356,0.005751379236028453
0.02,0.8,0.05,0.0,0.0,0.0020172324684414418
0.02,0.8,0.1,0.0,0.002133199515063346,0.002564263378300858
0.02,0.8,0.15,0.0,0.004416668687996547,0.0031998090015029415
0.04,0.2,0.05,0.006060636489924965,0.008952527958852319,0.008794540190607172
0.04,0.2,0.1,0.015669909519224572,0.018096882257398725,0.013145470919203348
0.04,0.2,0.15,0.023821934086393957,0.02659700774900367,0.017572887091453666
0.04,0.4,0.05,0.0,0.005941210650727051,0.006852291756413857
0.04,0.4,0.1,0.010259159813808042,0.014150422356335256,0.010025370981056481
0.04,0.4,0.15,0.017501579736615182,0.021119998124277492,0.013486667790489378
0.04,0.6,0.05,0.0,0.003784276613802622,0.0047985644044114695
0.04,0.6,0.1,0.002035954038385977,0.01028495532300425,0.00694815597030779
0.04,0.6,0.15,0.010838837770989403,0.016174102071546813,0.009345705888814908
0.04,0.8,0.05,0.0,0.0026760670581615843,0.002654455952018384
0.04,0.8,0.1,0.0,0.007783578414483426,0.003989516450373496
0.04,0.8,0.15,0.0,0.01201795051249074,0.0053317681084892165
0.06,0.2,0.05,0.01196770468116419,0.014044208948793234,0.011123072989724174
0.06,0.2,0.1,0.024018343365643798,0.027039541203697618,0.01767481771220558
0.06,0.2,0.15,0.0343444205204366,0.038075612453140534,0.02430135362653428
0.06,0.4,0.05,0.0063596384714975,0.01103032691917287,0.008716681112641943
0.06,0.4,0.1,0.01750794893033853,0.02107602802986275,0.013605316254483996
0.06,0.4,0.15,0.026589794492694142,0.03068886497703619,0.018763598801759575
0.06,0.6,0.05,0.0,0.007819946010619692,0.006086990207929058
0.06,0.6,0.1,0.0103014446318629,0.01600087855366299,0.009372477640737125
0.06,0.6,0.15,0.01856618575579751,0.024146643730787648,0.013107608205653999
0.06,0.8,0.05,0.0,0.005011470758671963,0.0033787683831753585
0.06,0.8,0.1,0.0,0.012219084415359294,0.005256372591097665
0.06,0.8,0.15,0.010330040201161635,0.01773743227076443,0.0073824898257925315
0.08,0.2,0.05,0.016830451733794327,0.019293413564277842,0.013514092000882782
0.08,0.2,0.1,0.032531798013625435,0.03585258035318655,0.022424264610139803
0.08,0.2,0.15,0.04701924337721465,0.05150300336825486,0.03146311440469498
0.08,0.4,0.05,0.011469723097099444,0.015324608696167178,0.010450937707903726
0.08,0.4,0.1,0.024387912335763477,0.027994188403169307,0.017110481039713358
0.08,0.4,0.15,0.035088173563401076,0.04036513332183862,0.023953421772849415
0.08,0.6,0.05,0.004489522149445512,0.011722692087901644,0.007308714452980852
0.08,0.6,0.1,0.01648522932889413,0.022073181410513447,0.011696811628610027
0.08,0.6,0.15,0.025358847065940236,0.0311225626785782,0.01666804401675589
0.08,0.8,0.05,0.0,0.00840715731993339,0.0041957276152178756
0.08,0.8,0.1,0.00884974310745141,0.016636274021859722,0.006773799225197898
0.08,0.8,0.15,0.0162865669012933,0.02359145095379893,0.009632282745095392
