sigma,delay,optimal_buffer,sigma_sqrt_delay
0.35,1.0,0.04028270984660079,0.35
0.35,1.5,0.04754320206918154,0.4286607049870561
0.35,2.0,0.054847489692218754,0.4949747468305833
0.35,2.5,0.0594046277386365,0.5533985905294664
0.5,1.0,0.05546800695168184,0.5
0.5,1.5,0.06799888460758469,0.6123724356957945
0.5,2.0,0.07669993949213884,0.7071067811865476
0.5,2.5,0.08661738434701076,0.7905694150420949
0.65,1.0,0.07356183800397616,0.65
0.65,1.5,0.09002169631116606,0.7960841664045328
0.65,2.0,0.10357715491858896,0.9192388155425119
0.65,2.5,0.11613559025989188,1.0277402395547235
0.87,1.0,0.10059487231892154,0.87
0.87,1.5,0.12432447608805039,1.0655280381106824
0.87,2.0,0.14315840404495228,1.2303657992645927
0.87,2.5,0.15894650984277006,1.3755907821732452
1.0,1.0,0.11650692822916536,1.0
1.0,1.5,0.1419422863962034,1.224744871391589
1.0,2.0,0.16772550160197716,1.4142135623730951
1.0,2.5,0.18586287935673307,1.5811388300841898
